guid,name,title,created_time,last_deployed_time,app_mode,app_role,owner_username,a_nona_account,department,new_connect,old_connect,name_words,contains_test,similarity_score,matched_old_name,matched_new_name,migration,contains_test_app_inold,contains_test_app_innew
551d27e0-cb87-478b-8e09-0da923e20d54,du-2024-defra-priorities,du-2024-defra-priorities,2025-09-16T14:06:05Z,2025-10-28T11:46:50Z,python-dash,viewer,sa-delivery-unit@Defra.onmicrosoft.com,FALSE,Defra,NA,old_server,NA,FALSE,NA,NA,NA,NA,NA,NA
d896102a-8311-4505-b96e-49b1bf02f4ef,water_programmes_dashboard,water_programmes_dashboard,2023-11-20T15:10:32Z,2025-10-28T11:16:51Z,python-dash,none,sa-delivery-unit@Defra.onmicrosoft.com,FALSE,Defra,NA,old_server,NA,FALSE,NA,NA,NA,NA,NA,NA
b13c76bd-2a11-45f8-a9bf-0251c933e671,water-company-performance-dashboard,water-company-performance-dashboard,2025-10-28T11:15:06Z,2025-10-28T11:15:10Z,unknown,none,sa-delivery-unit@Defra.onmicrosoft.com,FALSE,Defra,NA,old_server,NA,FALSE,NA,NA,NA,NA,NA,NA
c097f83f-3f42-44bc-8db4-9681f3a82c97,du-correspondence,du-correspondence,2024-02-26T14:55:47Z,2025-10-28T08:48:52Z,python-dash,viewer,sa-delivery-unit@Defra.onmicrosoft.com,FALSE,Defra,NA,old_server,NA,FALSE,NA,NA,NA,NA,NA,NA
0a3dd290-0b69-4e8a-b195-15ac697a3eee,du-2024-defra-priorities-dev,du-2024-defra-priorities-dev,2024-10-17T15:20:25Z,2025-10-08T12:58:00Z,python-dash,viewer,sa-delivery-unit@Defra.onmicrosoft.com,FALSE,Defra,NA,old_server,NA,FALSE,NA,NA,NA,NA,NA,NA
aaf83a4a-0022-4d44-a209-411a7e12fe39,nature_graphs1,nature graphs,2025-03-05T15:18:01Z,2025-03-05T15:18:02Z,python-dash,none,sa-delivery-unit@Defra.onmicrosoft.com,FALSE,Defra,NA,old_server,NA,FALSE,NA,NA,NA,NA,NA,NA
a374e5d6-0630-47a6-9722-b2016867421a,nature_graphs,nature graphs,2025-03-05T15:04:59Z,2025-03-05T15:05:00Z,python-dash,none,sa-delivery-unit@Defra.onmicrosoft.com,FALSE,Defra,NA,old_server,NA,FALSE,NA,NA,NA,NA,NA,NA
0992b241-db8b-4850-9915-ce9a408f64ac,du_landing_dashboard,du_landing_dashboard,2024-10-18T09:30:57Z,2025-01-07T17:00:35Z,python-dash,viewer,sa-delivery-unit@Defra.onmicrosoft.com,FALSE,Defra,NA,old_server,NA,FALSE,NA,NA,NA,NA,NA,NA
ae4da834-3206-4203-a6ae-f9755bd7e8e3,du-dashboard-usage,du-dashboard-usage,2024-10-17T17:18:37Z,2024-10-17T17:34:31Z,python-dash,none,sa-delivery-unit@Defra.onmicrosoft.com,FALSE,Defra,NA,old_server,NA,FALSE,NA,NA,NA,NA,NA,NA
a7151b36-8367-4866-94c6-d6028d3f7606,du-sos-dashboard,du-sos-dashboard,2023-11-30T08:47:07Z,2024-10-08T12:24:23Z,python-dash,none,sa-delivery-unit@Defra.onmicrosoft.com,FALSE,Defra,NA,old_server,NA,FALSE,NA,NA,NA,NA,NA,NA
22c5bf0b-492b-4bd5-98a4-555532223dab,du-sos-dashboard-development,du-sos-dashboard-development,2024-02-07T17:17:06Z,2024-05-13T13:04:25Z,python-dash,none,sa-delivery-unit@Defra.onmicrosoft.com,FALSE,Defra,NA,old_server,NA,FALSE,NA,NA,NA,NA,NA,NA
199e362a-53cb-4c7c-aedc-3f8e6546d47c,du-ea-dashboard,du-ea-dashboard,2023-07-27T09:34:32Z,2023-12-15T13:54:33Z,python-dash,none,sa-delivery-unit@Defra.onmicrosoft.com,FALSE,Defra,NA,old_server,NA,FALSE,NA,NA,NA,NA,NA,NA
5442bb72-956a-4095-a4f2-80867ce99add,du-rpa-dashboard2,du-rpa-dashboard,2023-10-05T16:20:27Z,2023-12-12T14:02:55Z,python-dash,none,sa-delivery-unit@Defra.onmicrosoft.com,FALSE,Defra,NA,old_server,NA,FALSE,NA,NA,NA,NA,NA,NA
